aX,aY,aZ,gX,gY,gZ
1.267,-1.945,0.474,-27.466,97.107,70.251
1.254,-2.015,0.434,-9.766,107.056,100.891
1.250,-2.176,0.384,0.977,111.267,114.990
1.256,-2.272,0.362,3.235,114.319,154.419
1.184,-2.364,0.283,1.221,113.892,183.899
1.063,-2.313,0.165,6.592,113.342,218.506
0.898,-2.195,0.030,31.250,92.529,291.748
0.607,-1.889,-0.002,37.354,66.528,324.951
0.481,-1.680,0.092,25.696,9.216,382.446
0.267,-1.217,0.218,18.555,-9.033,398.743
0.236,-1.062,0.279,12.146,-17.151,402.527
0.249,-0.985,0.327,7.263,-3.418,391.418
0.252,-0.925,0.230,8.301,8.179,388.061
0.227,-0.875,0.110,3.418,15.747,387.146
0.171,-0.700,-0.090,2.014,12.085,386.658
0.159,-0.601,-0.157,0.305,5.005,386.291
0.172,-0.520,-0.203,-22.217,-21.301,386.536
0.218,-0.398,-0.181,-30.884,-35.461,386.963
0.223,-0.349,-0.142,-31.921,-52.185,387.573
0.216,-0.283,-0.078,-31.433,-57.678,385.315
0.195,-0.223,-0.068,-24.170,-58.899,377.869
0.123,0.000,-0.135,-17.151,-53.284,371.155
0.093,0.091,-0.184,-15.137,-45.044,358.887
0.072,0.142,-0.239,-22.888,-26.978,327.759
0.034,0.134,-0.392,-42.908,-24.536,319.641
0.015,0.094,-0.454,-105.896,-43.030,327.759
-0.041,0.054,-0.498,-116.760,-57.129,339.966
-0.084,0.097,-0.497,-82.703,-88.928,356.079
-0.195,0.275,-0.394,-48.279,-95.459,351.624
-0.255,0.356,-0.321,-18.250,-92.468,342.407
-0.308,0.415,-0.255,-2.441,-83.008,322.449
-0.383,0.488,-0.187,-13.000,-78.369,314.636
-0.412,0.518,-0.180,-42.175,-68.481,302.917
-0.437,0.554,-0.193,-53.772,-65.796,296.936
-0.438,0.570,-0.182,-51.880,-61.096,283.630
-0.479,0.599,-0.096,-42.725,-57.190,277.710
-0.534,0.605,-0.059,-29.846,-52.307,271.118
-0.526,0.601,-0.030,-18.799,-44.373,251.892
-0.587,0.565,0.021,-18.616,-37.476,250.977
-0.665,0.531,-0.002,-20.386,-23.804,250.488
-0.794,0.509,-0.110,-27.466,-19.348,243.469
-0.849,0.542,-0.168,-33.875,-12.146,224.609
-0.938,0.616,-0.240,-30.273,-9.399,210.266
-0.959,0.608,-0.245,-24.048,-6.897,191.406
-0.972,0.570,-0.241,-25.513,0.549,153.198
-0.999,0.500,-0.201,-33.508,4.395,138.672
-1.005,0.480,-0.164,-47.852,8.972,116.150
-1.033,0.451,-0.040,-50.110,10.681,112.122
-1.089,0.472,0.013,-53.040,14.832,114.929
-1.154,0.528,0.056,-57.800,16.541,113.708
-1.346,0.712,0.100,-63.354,18.677,110.474
-1.467,0.809,0.098,-75.928,27.283,90.759
-1.608,0.947,0.093,-87.280,36.987,73.364
-1.647,0.953,0.108,-135.864,68.298,40.710
-1.784,0.805,0.094,-158.081,91.431,24.231
-1.882,0.706,0.029,-172.180,119.690,7.629
-2.004,0.632,-0.082,-184.692,164.795,-11.475
-2.255,0.615,-0.401,-190.979,171.509,-18.188
-2.352,0.677,-0.582,-174.377,176.270,-39.124
-2.601,0.844,-0.876,-149.780,180.603,-55.237
