aX,aY,aZ,gX,gY,gZ
0.523,-1.697,-0.011,30.701,-26.611,-41.199
0.491,-1.629,0.012,34.363,-41.199,13.245
0.430,-1.519,-0.010,35.156,-45.654,26.184
0.456,-1.546,-0.015,45.593,-48.096,29.053
0.504,-1.580,-0.016,55.908,-38.879,25.818
0.573,-1.624,-0.061,62.500,-31.860,25.146
0.594,-1.617,-0.099,57.373,-27.466,36.499
0.568,-1.519,-0.133,39.551,-29.785,48.889
0.532,-1.439,-0.101,19.226,-32.898,62.256
0.472,-1.258,0.014,-5.188,-33.630,80.627
0.446,-1.162,0.063,-7.812,-30.457,83.801
0.414,-1.060,0.104,-12.817,-19.836,82.581
0.348,-0.845,0.180,-16.602,-12.817,79.407
0.316,-0.741,0.218,-24.353,3.540,71.106
0.260,-0.551,0.272,-28.259,10.925,66.650
0.245,-0.473,0.283,-30.762,17.029,62.317
0.235,-0.410,0.282,-29.602,25.635,55.359
0.217,-0.323,0.240,-28.381,26.550,53.833
0.219,-0.286,0.216,-26.123,18.555,56.824
0.211,-0.193,0.147,-21.729,11.902,59.875
0.166,-0.133,0.101,-7.324,-4.211,61.768
0.089,-0.013,0.058,12.024,-13.733,57.800
0.085,0.016,0.054,26.733,-20.325,50.537
0.083,0.013,0.041,26.184,-23.437,21.240
0.114,-0.125,0.004,32.532,-23.071,-4.456
0.154,-0.261,-0.029,44.434,-18.799,-72.754
0.239,-0.663,-0.045,28.320,-16.052,-106.567
0.286,-0.926,0.004,0.488,-12.024,-134.644
0.327,-1.227,0.083,-43.091,4.761,-174.866
0.430,-2.011,0.184,-51.147,18.311,-189.148
0.520,-2.447,0.194,-66.956,55.542,-181.152
0.732,-2.932,0.042,-53.711,77.454,-145.691
0.738,-2.848,-0.093,-12.085,135.193,-24.353
0.538,-2.118,0.075,-29.785,164.612,35.522
0.456,-1.697,0.218,-50.049,187.073,73.364
0.447,-1.365,0.255,-14.038,179.810,89.539
0.482,-0.964,0.081,18.921,141.113,89.844
0.477,-0.848,-0.016,30.762,29.907,103.577
0.441,-0.692,-0.141,14.771,-16.785,110.901
0.423,-0.632,-0.178,0.977,-49.683,111.206
0.402,-0.576,-0.196,-5.615,-86.243,90.088
0.343,-0.487,-0.158,-2.686,-95.642,74.829
0.313,-0.454,-0.107,-0.793,-101.318,48.645
0.262,-0.400,-0.000,-2.625,-98.572,40.161
0.241,-0.377,0.033,-1.526,-88.562,31.738
0.202,-0.320,0.042,-0.488,-83.740,29.907
0.183,-0.288,0.033,-2.625,-78.796,28.381
0.164,-0.267,0.014,-9.277,-66.895,24.109
0.133,-0.269,-0.013,-14.893,-60.669,21.973
0.138,-0.288,-0.005,-10.010,-47.058,16.357
0.203,-0.365,0.019,2.563,-39.429,11.963
0.240,-0.405,0.025,14.343,-31.311,7.507
0.265,-0.475,0.002,31.189,-18.250,-0.977
0.705,-2.573,0.106,46.875,-46.326,-159.302
0.788,-2.664,0.129,90.759,-30.945,-131.897
0.710,-2.274,0.140,77.881,-20.813,-91.980
0.578,-1.909,0.143,42.847,-5.554,-6.531
0.337,-1.235,0.184,30.762,0.732,18.616
0.291,-1.020,0.239,20.935,8.728,31.006
0.288,-0.887,0.299,2.258,33.081,40.405
0.344,-0.769,0.347,-7.874,49.011,42.847
0.360,-0.730,0.317,-36.438,78.918,46.021
0.361,-0.629,0.204,-48.645,87.646,47.913
0.353,-0.569,0.152,-59.692,91.553,50.232
0.342,-0.507,0.114,-72.937,88.501,51.880
0.324,-0.424,0.021,-72.998,82.031,51.270
0.322,-0.393,-0.005,-73.853,60.730,51.331
0.291,-0.314,-0.002,-66.345,50.049,50.476
0.264,-0.267,0.008,-54.504,40.710,47.302
0.238,-0.226,0.028,-34.241,27.405,31.738
0.216,-0.228,0.071,-26.123,24.536,19.470
0.203,-0.262,0.082,-21.057,25.024,-9.888
0.189,-0.387,0.088,-20.996,26.428,-29.053
