aX,aY,aZ,gX,gY,gZ
1.007,-0.103,0.261,13.062,-23.560,-5.493
0.791,-1.207,-0.725,410.583,-129.150,-32.410
0.860,-1.317,-0.513,433.716,-129.944,-13.000
0.994,-1.416,-0.652,442.566,-117.737,-1.343
1.020,-1.379,-0.793,418.518,-125.488,16.907
1.088,-1.537,-0.609,395.081,-137.939,24.048
1.122,-1.615,-0.474,381.531,-139.648,35.706
1.135,-1.616,-0.459,375.427,-116.028,68.054
1.043,-1.366,-0.628,371.765,-107.971,81.970
0.964,-1.224,-0.651,351.135,-112.671,88.867
0.905,-1.290,-0.577,338.440,-117.737,85.999
0.918,-1.407,-0.499,327.515,-114.807,94.299
0.926,-1.477,-0.408,326.172,-107.178,105.774
0.893,-1.416,-0.343,321.167,-99.121,117.432
0.853,-1.319,-0.318,295.532,-82.581,131.104
0.809,-1.181,-0.351,279.419,-77.576,131.775
0.814,-1.175,-0.344,257.874,-70.190,131.348
0.820,-1.117,-0.340,254.028,-66.101,134.033
0.793,-1.008,-0.320,244.934,-62.317,135.559
0.741,-0.850,-0.267,235.107,-64.026,131.104
0.734,-0.829,-0.241,222.595,-67.139,125.122
0.733,-0.820,-0.195,197.327,-73.242,116.516
0.712,-0.760,-0.039,188.354,-72.632,115.356
0.683,-0.670,0.055,174.377,-59.326,113.892
0.613,-0.479,0.234,165.649,-51.086,108.887
0.610,-0.432,0.295,151.489,-45.349,102.295
0.626,-0.391,0.327,114.258,-37.720,93.079
0.658,-0.244,0.283,99.243,-34.912,89.722
0.662,-0.163,0.224,76.599,-31.250,80.933
0.633,-0.010,0.179,64.880,-31.006,74.890
0.598,0.069,0.238,45.349,-27.466,60.059
0.514,0.199,0.353,39.063,-20.630,50.659
0.445,0.267,0.381,32.166,-13.611,39.490
0.358,0.343,0.430,12.634,-1.892,6.104
0.184,0.384,0.536,0.549,5.981,-18.188
0.089,0.349,0.578,-32.471,21.240,-76.538
-0.078,0.108,0.662,-53.345,29.541,-109.497
-0.114,-0.173,0.602,-75.867,39.185,-142.090
-0.085,-0.579,0.528,-114.380,58.167,-184.265
-0.075,-1.164,0.776,-123.779,77.026,-185.242
-0.140,-1.270,0.890,-140.381,152.649,-173.889
-0.393,-1.381,0.775,-160.278,193.909,-173.889
-0.560,-1.473,0.660,-234.070,245.666,-196.350
-0.862,-1.912,0.661,-270.630,263.733,-213.013
-1.014,-2.251,0.678,-291.016,290.894,-226.929
-1.183,-2.662,0.535,-324.463,370.789,-248.962
-1.362,-3.661,-0.273,-362.793,395.325,-253.540
-1.469,-3.899,-0.425,-463.928,378.723,-234.558
-2.017,-3.922,-0.027,-511.963,364.990,-231.079
-2.336,-3.962,0.020,-572.083,378.418,-265.198
-2.769,-4.000,-0.234,-575.989,396.301,-281.982
-3.085,-4.000,-0.111,-570.923,416.809,-285.339
-3.910,-3.998,0.120,-569.946,484.924,-279.541
-4.000,-3.999,-0.168,-571.106,536.743,-282.959
-4.000,-4.000,-0.591,-524.292,653.992,-262.817
-3.991,-4.000,-0.273,-482.910,716.003,-222.534
-3.989,-4.000,0.144,-369.934,932.739,-59.875
-4.000,-4.000,-1.267,-279.297,1074.768,93.079
-4.000,-4.000,-2.927,-161.560,1134.949,342.102
-3.542,-4.000,-4.000,-175.842,973.572,383.972
-2.756,-4.000,-4.000,-210.144,742.493,392.090
-2.046,-4.000,-3.511,-236.389,395.630,398.987
-1.555,-4.000,-3.362,-229.736,313.782,416.870
-1.466,-3.940,-3.604,-216.003,162.415,445.862
-1.291,-3.771,-2.672,-196.594,92.102,444.519
-1.268,-3.782,-2.224,-147.705,60.791,450.439
-1.368,-2.933,-2.789,-137.207,57.190,469.543
-1.415,-2.038,-2.966,-135.864,26.428,481.567
