aX,aY,aZ,gX,gY,gZ
0.793,-0.345,-0.342,-26.062,8.423,10.986
0.822,-0.331,-0.221,-17.151,10.559,9.277
0.828,-0.317,-0.191,-7.202,19.287,6.531
0.849,-0.310,-0.175,-8.789,22.766,3.296
0.867,-0.328,-0.179,-12.634,23.743,-3.967
0.921,-0.386,-0.169,-15.137,20.630,-5.127
0.949,-0.417,-0.147,-15.991,16.479,-3.845
0.975,-0.439,-0.124,-14.771,7.751,4.150
1.006,-0.422,-0.080,-15.076,1.953,9.583
1.017,-0.398,-0.050,-15.747,-10.193,18.066
1.063,-0.380,0.038,-15.259,-15.320,20.508
1.101,-0.389,0.094,-10.681,-22.522,24.292
1.189,-0.416,0.233,-12.756,-24.597,25.940
1.231,-0.430,0.305,-16.846,-25.208,27.954
1.262,-0.434,0.359,-23.437,-24.414,35.095
1.304,-0.416,0.402,-28.137,-27.466,41.199
1.332,-0.407,0.412,-43.762,-45.898,58.594
1.405,-0.421,0.482,-54.626,-57.861,68.481
1.444,-0.442,0.551,-65.247,-67.261,78.369
1.468,-0.442,0.625,-74.341,-69.397,95.276
1.453,-0.351,0.724,-73.914,-62.012,100.159
1.437,-0.305,0.721,-83.191,-42.542,104.553
1.493,-0.368,0.617,-94.482,-36.987,107.300
1.540,-0.442,0.557,-110.291,-33.081,122.559
1.550,-0.465,0.439,-108.215,-30.396,132.751
1.533,-0.443,0.364,-104.431,-27.954,141.846
1.514,-0.426,0.286,-104.553,-28.748,160.278
1.461,-0.373,0.155,-106.201,-30.029,172.424
1.433,-0.337,0.099,-111.206,-32.532,199.890
1.362,-0.255,-0.012,-114.441,-33.813,211.365
1.327,-0.219,-0.061,-118.713,-39.307,231.079
1.230,-0.139,-0.127,-120.239,-45.410,242.249
1.167,-0.081,-0.138,-122.070,-53.467,253.723
1.091,0.004,-0.128,-125.488,-66.528,268.860
0.944,0.166,-0.117,-126.770,-67.139,268.372
0.893,0.205,-0.130,-120.239,-60.181,258.240
0.802,0.240,-0.149,-114.258,-58.350,254.517
0.754,0.263,-0.156,-108.398,-63.354,251.526
0.652,0.324,-0.193,-109.070,-67.566,249.756
0.606,0.347,-0.213,-109.985,-70.251,246.460
0.562,0.370,-0.229,-100.525,-69.214,236.328
0.450,0.464,-0.222,-91.492,-67.688,229.858
0.393,0.526,-0.205,-81.909,-68.115,214.905
0.298,0.617,-0.182,-80.261,-70.496,206.421
0.257,0.649,-0.166,-77.820,-74.341,197.571
0.223,0.672,-0.133,-72.266,-84.839,182.129
0.154,0.706,-0.033,-73.853,-88.074,176.758
0.112,0.728,-0.001,-80.017,-85.083,167.908
0.048,0.775,0.000,-82.520,-80.872,162.415
0.025,0.790,-0.024,-83.923,-71.655,149.048
-0.034,0.811,-0.079,-80.383,-66.833,140.686
-0.072,0.809,-0.102,-75.073,-61.890,130.981
-0.102,0.796,-0.130,-66.345,-50.964,110.657
-0.107,0.775,-0.205,-62.195,-47.974,102.295
-0.094,0.777,-0.231,-53.101,-50.232,91.431
-0.092,0.757,-0.244,-53.223,-54.016,88.806
-0.102,0.739,-0.247,-55.054,-60.364,83.862
-0.102,0.746,-0.291,-51.514,-59.387,79.834
-0.103,0.762,-0.303,-44.067,-55.969,74.829
-0.110,0.775,-0.302,-26.306,-47.119,63.293
-0.117,0.775,-0.293,-20.447,-45.532,57.617
-0.102,0.761,-0.287,-15.015,-48.035,50.110
-0.062,0.717,-0.255,-14.038,-48.279,49.194
-0.061,0.702,-0.240,-10.925,-41.321,49.988
-0.100,0.705,-0.239,-7.690,-35.950,49.133
-0.127,0.722,-0.249,-4.272,-30.945,46.509
-0.145,0.742,-0.264,1.648,-24.597,37.476
-0.161,0.774,-0.268,4.761,-23.437,32.654
-0.166,0.793,-0.243,10.376,-22.034,24.597
-0.183,0.817,-0.172,11.047,-21.301,21.667
-0.191,0.824,-0.152,4.761,-21.484,19.714
