aX,aY,aZ,gX,gY,gZ
0.305,-0.425,0.812,3.479,-40.161,48.950
0.330,-0.437,0.869,13.611,-36.743,46.631
0.353,-0.450,0.907,21.057,-20.081,44.739
0.399,-0.481,0.934,0.977,-14.282,44.556
0.409,-0.470,0.916,-44.067,-13.855,39.368
0.414,-0.393,0.855,-46.570,-15.320,36.072
0.422,-0.375,0.826,-37.476,-10.559,33.752
0.422,-0.379,0.793,-39.551,-4.944,31.433
0.417,-0.381,0.786,-38.879,0.122,27.161
0.418,-0.372,0.787,-19.226,2.930,21.729
0.413,-0.319,0.813,-8.850,0.671,21.423
0.415,-0.304,0.837,-5.920,-3.113,16.113
0.435,-0.319,0.868,-12.024,-2.869,10.803
0.443,-0.322,0.878,-21.423,-1.648,6.409
0.447,-0.312,0.872,-26.978,2.808,1.160
0.450,-0.267,0.835,-19.531,4.333,-0.671
0.454,-0.260,0.840,3.174,4.761,-4.395
0.468,-0.304,0.864,14.893,5.310,-6.226
0.480,-0.324,0.862,13.977,6.592,-5.554
0.498,-0.322,0.846,6.775,6.714,-4.700
0.499,-0.305,0.849,-1.282,6.958,-4.883
0.500,-0.290,0.853,-12.756,10.986,-8.667
0.508,-0.274,0.838,-18.860,14.404,-11.780
0.513,-0.278,0.822,-26.550,17.944,-17.883
0.538,-0.294,0.812,-27.527,17.029,-20.142
0.549,-0.304,0.821,-25.391,15.930,-22.095
0.559,-0.314,0.831,-13.550,18.188,-27.832
0.577,-0.361,0.836,-7.202,22.095,-31.555
0.587,-0.410,0.815,-0.977,28.564,-33.997
0.602,-0.463,0.759,-2.563,26.367,-30.945
0.602,-0.453,0.749,-15.564,17.029,-23.193
0.587,-0.433,0.769,-25.085,15.015,-21.973
